Name,Parent,Opening,ROC,Domestic,Budget,Mkting,Distrib,Year,Genre,ParentRev,NProfit,Date,GProfit,Total,Overseas
World War Z,Viacom (Paramount),66.411834,23.2,202.36,190,95,Paramount,2013,Action Horror,351.005,66.005,21/06/2013,161.005,540.008,337.648
The Devil Inside,Viacom (Paramount),33.732515,22.1,53.262,25,25,Paramount,2012,Horror,61.055,11.055,06/01/2012,36.055,101.758,48.497
The Dictator,Viacom (Paramount),17.435092,19.6,59.65,65,32.5,Paramount,2012,Comedy,116.597,19.097,16/05/2012,51.597,179.38,119.729
Jack Reacher:,Viacom (Paramount),22.87249,16.6,58.697,60,30,Paramount,2016,Crime Drama,104.965,14.965,21/10/2016,44.965,161.484,102.787
Captain America:,Viacom (Paramount),65.058524,14.7,176.655,140,70,Paramount,2011,Action / Adventure,240.87,30.87,22/07/2011,100.87,370.57,193.915
The Adventures of Tintin,Viacom (Paramount),9.720993,11.8,77.592,145,72.5,Paramount,2011,Animation,243.096,25.596,21/12/2011,98.096,373.994,296.402
Office Christmas Party,Viacom (Paramount),16.890204,10.2,54.767,45,22.5,Paramount,2016,Comedy,74.414,6.914,09/12/2016,29.414,114.483,59.715
Megamind,Viacom (Paramount),46.016833,7.3,148.416,130,65,Paramount (DreamWorks),2010,Animation,209.226,14.226,05/11/2010,79.226,321.886,173.47
Star Trek Into Darkness,Viacom (Paramount),70.165559,6.6,228.779,190,95,Paramount,2013,Sci-Fi Adventure,303.798,18.798,16/05/2013,113.798,467.381,238.603
Hercules (2014),Viacom (Paramount),29.800263,6.1,72.689,100,50,Paramount,2014,Action / Adventure,159.133,9.133,25/07/2014,59.133,244.82,172.131
Middle Men,Viacom (Paramount),0.325641,2.0735,0.754,20,20,Paramount Vantage,2010,Crime Comedy,0.8294,-39.1706,06/08/2010,-19.1706,1.508,0.754
Not Fade Away,Viacom (Paramount),0.019182,1.68025,0.611,20,20,Paramount Vantage,2012,Drama,0.6721,-39.3279,21/12/2012,-19.3279,1.222,0.611
Selma,Viacom (Paramount),15.6231,0.2,52.077,20,20,Paramount,2014,Drama,40.073,0.073,25/12/2014,20.073,66.788,14.711
Pain and Gain,Viacom (Paramount),20.244505,-0.6,49.875,26,26,Paramount,2013,Action,51.705,-0.295,26/04/2013,25.705,86.175,36.3
Jack Ryan:,Viacom (Paramount),15.451981,-2.1,50.577,60,30,Paramount,2014,Action Thriller,88.082,-1.918,17/01/2014,28.082,135.511,84.934
10 Cloverfield Lane,Viacom (Paramount),24.727437,-7.2,72.083,35,35,Paramount,2016,Thriller,64.972,-5.028,11/03/2016,29.972,108.286,36.203
The Last Airbender,Viacom (Paramount),40.325019,-7.6,131.772,150,75,Paramount,2010,Fantasy,207.814,-17.186,01/07/2010,57.814,319.714,187.942
Rise of the Guardians,Viacom (Paramount),23.773465,-8.3,103.413,145,72.5,Paramount (DreamWorks),2012,Animation,199.512,-17.988,21/11/2012,54.512,306.942,203.529
Project Almanac,Viacom (Paramount),8.310252,-17,22.348,12,12,Paramount,2015,Sci-Fi,19.928,-4.072,30/01/2015,7.928,33.213,10.865
Star Trek Beyond,Viacom (Paramount),59.253211,-19.5,158.848,185,92.5,Paramount,2016,Sci-Fi Adventure,223.257,-54.243,22/07/2016,38.257,343.472,184.623
Footloose (2011),Viacom (Paramount),15.556113,-20.6,51.803,24,24,Paramount,2011,Musical,38.126,-9.874,14/10/2011,14.126,63.543,11.741
Rango,Viacom (Paramount),38.079323,-21.1,123.478,135,67.5,Paramount,2011,Animation,159.721,-42.779,04/03/2011,24.721,245.725,122.247
Teenage Mutant Ninja Turtles:,Viacom (Paramount),35.316382,-21.2,82.052,135,67.5,Paramount,2016,Action / Adventure,159.656,-42.844,03/06/2016,24.656,245.624,163.572
She's Out of My League,Viacom (Paramount),9.775278,-25.3,32.011,20,20,Paramount,2010,Romantic Comedy,29.868,-10.132,12/03/2010,9.868,49.78,17.769
Nebraska,Viacom (Paramount),5.2965,-30.8,17.655,12,12,Paramount,2013,Comedy / Drama,16.61,-7.39,15/11/2013,4.61,27.683,10.028
Morning Glory,Viacom (Paramount),9.203266,-35,31.012,40,20,Paramount,2010,Comedy,39.027,-20.973,10/11/2010,-0.973,60.041,29.029
Hugo,Viacom (Paramount),11.364505,-38.1,73.865,130,65,Paramount,2011,Family Adventure,120.751,-74.249,23/11/2011,-9.249,185.77,111.906
13 Hours:,Viacom (Paramount),16.194738,-39.8,52.853,50,25,Paramount,2016,Drama,45.117,-29.883,15/01/2016,-4.883,69.411,16.558
Allied,Viacom (Paramount),12.701743,-41.3,40.098,85,42.5,Paramount,2016,Romantic Thriller,74.814,-52.686,23/11/2016,-10.186,115.098,75
Young Adult,Viacom (Paramount),4.8936,-42.7,16.312,12,12,Paramount,2011,Comedy / Drama,13.763,-10.237,09/12/2011,1.763,22.939,6.627
Dinner for Schmucks,Viacom (Paramount),23.527839,-45.5,73.026,69,34.5,Paramount (DreamWorks),2010,Comedy,56.456,-47.044,30/07/2010,-12.544,86.856,13.829
Cirque Du Soleil:,Viacom (Paramount),2.162993,-48.8,12.513,20,20,Paramount,2012,Concert,20.492,-19.508,21/12/2012,0.492,34.153,21.64
Zoolander 2,Viacom (Paramount),13.841146,-51.5,28.849,50,25,Paramount,2016,Comedy,36.38,-38.62,12/02/2016,-13.62,55.969,27.12
The Gambler,Viacom (Paramount),9.129999,-52.9,33.681,25,25,Paramount,2014,Crime Drama,23.569,-26.431,25/12/2014,-1.431,39.281,5.6
The Guilt Trip,Viacom (Paramount),5.290629,-54.6,37.134,40,20,Paramount,2012,Comedy,27.212,-32.788,19/12/2012,-12.788,41.864,4.73
Ben-Hur (2016),Viacom (Paramount),11.203815,-59.2,26.41,100,50,Paramount,2016,Historical Epic,61.14,-88.86,19/08/2016,-38.86,94.061,67.651
Waiting for ,Viacom (Paramount),0.139033,-61.4,6.417,5,5,Paramount Vantage,2010,Documentary,3.856,-6.144,24/09/2010,-1.144,6.426,0.009
Labor Day,Viacom (Paramount),5.175282,-66.2,13.372,18,18,Paramount,2014,Drama,12.166,-23.834,31/01/2014,-5.834,20.276,6.904
Case 39,Viacom (Paramount),5.35057,-67.5,13.262,26,26,Paramount Vantage,2010,Horror Thriller,16.914,-35.086,01/10/2010,-9.086,28.19,14.928
Scouts Guide to the Zombie Apocalypse,Viacom (Paramount),1.841007,-70.3,3.703,15,15,Paramount,2015,Horror Comedy,8.917,-21.083,30/10/2015,-6.083,14.861,11.158
Hot Tub Time Machine 2,Viacom (Paramount),5.963324,-72,12.315,14,14,Paramount,2015,Comedy,7.849,-20.151,20/02/2015,-6.151,13.082,0.767
Fun Size,Viacom (Paramount),4.101017,-75.5,9.41,14,14,Paramount,2012,Comedy,6.85,-21.15,26/10/2012,-7.15,11.417,2.008
A Thousand Words,Viacom (Paramount),6.17628,-76.1,18.45,40,20,Paramount (DreamWorks),2012,Comedy / Drama,14.329,-45.671,09/03/2012,-25.671,22.044,3.594
Like Crazy,Viacom (Paramount),0.12314,-77.6,3.395,5,5,Paramount Vantage,2011,Romance,2.239,-7.761,28/10/2011,-2.761,3.731,0.336
Whiskey Tango Foxtrot,Viacom (Paramount),7.450275,-80.2,23.083,35,35,Paramount,2016,Comedy,13.85,-56.15,04/03/2016,-21.15,23.083,23.083
Capture the Flag,Viacom (Paramount),0.00669,-83.4,0.007,15,15,Paramount,2015,Animation,4.984,-25.016,04/12/2015,-10.016,8.307,8.3
Anomalisa,Viacom (Paramount),0.135222,-85.9,3.759,8,8,Paramount,2015,Animation,2.255,-13.745,30/12/2015,-5.745,3.759,3.759
Silence (2016),Viacom (Paramount),2.0934,-91.3,6.978,24,24,Paramount,2016,Drama,4.187,-43.813,23/12/2016,-19.813,6.978,6.978
Top Five,Viacom (Paramount),6.896593,-93.1,25.317,165,82.5,Paramount,2014,Comedy,16.976,-230.524,12/12/2014,-148.024,26.117,0.8
Florence Foster Jenkins,Viacom (Paramount),6.601313,-93.6,27.384,185,92.5,Paramount,2016,Drama,17.8,-259.7,12/08/2016,-167.2,27.384,27.384
"Jeff, Who Lives at Home",Viacom (Paramount),0.855709,-95.2,4.269,40,20,Paramount Vantage,2012,Comedy,2.872,-57.128,16/03/2012,-37.128,4.418,0.148
Everybody Wants Some!!,Viacom (Paramount),0.312355,-97.1,3.4,35,35,Paramount,2016,Comedy,2.04,-67.96,30/03/2016,-32.96,3.4,3.4
Captive (2015),Viacom (Paramount),1.393243,-99.2,2.583,150,75,Paramount,2015,Thriller,1.821,-223.179,18/09/2015,-148.179,2.802,0.218
"Men, Women & Children",Viacom (Paramount),0.2118,-99.2,0.706,125,62.5,Paramount,2014,Drama,1.457,-186.043,01/10/2014,-123.543,2.241,1.535
The Intouchables (U.S.-only),Weinstein Co,0.103507,753.2,10.199,15,15,Weinstein Company,2012,Foreign,255.953,225.953,25/05/2012,240.953,426.589,416.39
The King's Speech,Weinstein Co,41.6391,728.4,138.797,15,15,Weinstein Company,2010,Historical Drama,248.527,218.527,26/11/2010,233.527,414.212,275.414
The King's Speech (PG-13),Weinstein Co,1.133162,408.9223333,138.797,15,15,Weinstein Company,2011,Historical Drama,152.6767,122.6767,01/04/2011,137.6767,277.594,138.797
August:,Weinstein Co,11.3217,345.1,37.739,5,5,Weinstein Company,2013,Comedy / Drama,44.513,34.513,27/12/2013,39.513,74.189,36.45
Silver Linings Playbook,Weinstein Co,39.6279,237.7,132.093,21,21,Weinstein Company,2012,Comedy,141.847,99.847,16/11/2012,120.847,236.412,104.319
Lawless,Weinstein Co,10.001982,222.1,37.4,5,5,Weinstein Company,2012,Crime Drama,32.206,22.206,29/08/2012,27.206,53.677,16.276
The Imitation Game,Weinstein Co,27.3378,180.3,91.126,25,25,Weinstein Company,2014,Drama,140.134,90.134,28/11/2014,115.134,233.556,142.43
The Artist,Weinstein Co,13.4016,166.9,44.672,15,15,Weinstein Company,2011,Comedy / Drama,80.06,50.06,25/11/2011,65.06,133.433,88.761
Philomena,Weinstein Co,11.313,150.3,37.71,12,12,Weinstein Company,2013,Drama,60.078,36.078,22/11/2013,48.078,100.13,62.42
The Iron Lady,Weinstein Co,9.0054,129.9,30.018,15,15,Weinstein Company,2011,Drama,68.974,38.974,30/12/2011,53.974,114.957,84.939
Paddington,Weinstein Co,18.966676,111.2,76.272,55,27.5,Weinstein / Dimension,2015,Family,174.231,91.731,16/01/2015,119.231,268.048,191.776
Django Unchained,Weinstein Co,30.122888,84.3,162.805,100,50,Weinstein Company,2012,Western,276.489,126.489,25/12/2012,176.489,425.368,262.563
Lee Daniels' The Butler,Weinstein Co,24.637312,76.6,116.632,30,30,Weinstein Company,2013,Drama,105.959,45.959,16/08/2013,75.959,176.599,59.967
The Master,Weinstein Co,4.9131,69.6,16.377,5,5,Weinstein Company,2012,Drama,16.955,6.955,14/09/2012,11.955,28.258,11.881
Woman in Gold,Weinstein Co,9.9924,68.1,33.308,11,11,Weinstein Company,2015,Drama,36.972,14.972,01/04/2015,25.972,61.62,28.312
Dark Skies,Weinstein Co,8.189166,66.1,17.419,3.5,5.25,Weinstein / Dimension,2013,Thriller,14.532,5.782,22/02/2013,11.032,26.422,9.003
Mandela:,Weinstein Co,2.4969,64,8.323,5,5,Weinstein Company,2013,Drama,16.4,6.4,29/11/2013,11.4,27.334,19.011
Apollo 18,Weinstein Co,8.704271,53.4,17.688,5,5,Weinstein / Dimension,2011,Sci-Fi Thriller,15.338,5.338,02/09/2011,10.338,25.563,7.875
The Hateful Eight,Weinstein Co,16.2351,53.4,54.117,44,22,Weinstein Company,2015,Western,101.244,35.244,25/12/2015,57.244,155.76,101.643
Our Idiot Brother,Weinstein Co,7.011631,48.9,24.816,5,5,Weinstein Company,2011,Comedy,14.89,4.89,26/08/2011,9.89,24.816,24.816
Scary Movie 5,Weinstein Co,14.157367,17.6,32.016,20,20,Weinstein / Dimension,2013,Comedy,47.027,7.027,12/04/2013,27.027,78.379,46.363
Scream 4,Weinstein Co,18.69209,5.2,38.181,40,20,Weinstein / Dimension,2011,Horror,63.14,3.14,15/04/2011,23.14,97.139,58.958
Piranha 3D,Weinstein Co,10.106872,4,25.003,24,24,Weinstein / Dimension,2010,Horror,49.913,1.913,20/08/2010,25.913,83.188,58.185
Begin Again,Weinstein Co,4.8513,-4.8,16.171,20,20,Weinstein Company,2014,Comedy,38.079,-1.921,27/06/2014,18.079,63.465,47.294
Spy Kids:,Weinstein Co,11.644672,-4.9,38.538,27,27,Weinstein / Dimension,2011,Family Adventure,51.338,-2.662,19/08/2011,24.338,85.564,47.026
Southpaw,Weinstein Co,16.701294,-8,52.422,30,30,Weinstein Company,2015,Drama,55.183,-4.817,24/07/2015,25.183,91.971,39.549
War of the Buttons (2012),Weinstein Co,0.004737,-16.7,0.048,5,5,Weinstein Company,2012,Foreign,8.326,-1.674,12/10/2012,3.326,13.876,13.828
Escape From Planet Earth,Weinstein Co,15.891055,-19.2,57.013,40,20,Weinstein Company,2013,Animation,48.489,-11.511,15/02/2013,8.489,74.598,17.585
The Giver,Weinstein Co,12.305016,-19.6,45.09,25,25,Weinstein Company,2014,Fantasy Drama,40.188,-9.812,15/08/2014,15.188,66.98,21.89
Killing Them Softly,Weinstein Co,6.8129,-24.1,15.026,15,15,Weinstein Company,2012,Crime Thriller,22.758,-7.242,30/11/2012,7.758,37.93,22.904
This Must Be the Place,Weinstein Co,0.007754,-29.2,0.144,5,5,Weinstein Company,2012,Comedy / Drama,7.075,-2.925,02/11/2012,2.075,11.791,11.647
The Concert,Weinstein Co,0.021742,-31.4,0.658,18,18,Weinstein Company,2010,Foreign,24.688,-11.312,30/07/2010,6.688,41.146,40.488
Haute Cuisine,Weinstein Co,0.014387,-31.7,0.218,5,5,Weinstein Company,2013,Foreign,6.83,-3.17,20/09/2013,1.83,11.384,11.166
St. Vincent,Weinstein Co,13.2414,-34.2,44.138,25,25,Weinstein Company,2014,Comedy,32.902,-17.098,10/10/2014,7.902,54.837,10.7
Quartet,Weinstein Co,5.517,-35.5,18.39,40,20,Weinstein Company,2013,Comedy,38.688,-21.312,11/01/2013,-1.312,59.52,41.13
The Grandmaster,Weinstein Co,1.9785,-35.9,6.595,30,30,Weinstein Company,2013,Foreign / Action,38.446,-21.554,23/08/2013,8.446,64.077,57.482
On the Other Side of the Tracks,Weinstein Co,0.005923,-37.2,0.01,12,12,Weinstein Company,2014,Foreign,15.066,-8.934,04/04/2014,3.066,25.11,25.1
The Players,Weinstein Co,0.006674,-38.5,0.011,12,12,Weinstein Company,2014,Foreign,14.767,-9.233,04/04/2014,2.767,24.611,24.6
The Railway Man,Weinstein Co,1.3314,-44.2,4.438,12,12,Weinstein Company,2014,Drama,13.393,-10.607,11/04/2014,1.393,22.321,17.882
Burnt,Weinstein Co,5.002521,-45.1,13.652,20,20,Weinstein Company,2015,Comedy,21.964,-18.036,30/10/2015,1.964,36.607,22.955
No Escape,Weinstein Co,8.111264,-45.6,27.289,30,30,Weinstein Company,2015,Action,32.651,-27.349,26/08/2015,2.651,54.419,27.13
The Sapphires,Weinstein Co,0.038372,-48.9,2.451,12,12,Weinstein Company,2013,Comedy / Drama,12.254,-11.746,22/03/2013,0.254,20.424,17.973
Lion,Weinstein Co,9.1107,-51.8,30.369,40,20,Weinstein Company,2016,Drama,28.941,-31.059,25/11/2016,-11.059,44.524,14.155
Frank Miller's Sin City:,Weinstein Co,6.317683,-52.7,13.758,25,25,Weinstein / Dimension,2014,Crime,23.645,-26.355,22/08/2014,-1.355,39.408,25.65
Bully (PG-13),Weinstein Co,0.535433,-54.427,4.143,5,5,Weinstein Company,2012,Documentary,4.5573,-5.4427,13/04/2012,-0.4427,8.286,4.143
My Week with Marilyn,Weinstein Co,4.38,-56.2,14.6,24,24,Weinstein Company,2011,Drama,21.035,-26.965,23/11/2011,-2.965,35.058,20.457
Carol,Weinstein Co,3.8133,-60.3,12.711,44,22,Weinstein Company,2015,Drama,26.177,-39.823,20/11/2015,-17.823,40.272,27.561
I Don't Know How She Does It,Weinstein Co,4.402201,-61.8,9.662,24,24,Weinstein Company,2011,Comedy,18.331,-29.669,16/09/2011,-5.669,30.551,20.889
Big Eyes,Weinstein Co,3.001738,-64.9,14.482,25,25,Weinstein Company,2014,Drama,17.552,-32.448,25/12/2014,-7.448,29.253,14.771
Kon-Tiki,Weinstein Co,0.022168,-65.7,1.517,20,20,Weinstein Company,2013,Foreign,13.706,-26.294,26/04/2013,-6.294,22.843,21.325
Youth in Revolt,Weinstein Co,6.888334,-67.2,15.281,18,18,Weinstein / Dimension,2010,Comedy,11.791,-24.209,08/01/2010,-6.209,19.651,4.37
Yves Saint Laurent,Weinstein Co,0.024207,-68.5,0.724,20,20,Weinstein Company,2014,Foreign,12.616,-27.384,25/06/2014,-7.384,21.026,20.303
Fruitvale Station,Weinstein Co,4.8303,-73.9,16.101,20,20,Weinstein Company,2013,Drama,10.432,-29.568,12/07/2013,-9.568,17.386,1.284
Bully (2012),Weinstein Co,0.116472,-74.1,4.143,5,5,Weinstein Company,2012,Documentary,2.595,-7.405,30/03/2012,-2.405,4.325,0.182
Sarah's Key,Weinstein Co,0.115708,-78.9,7.693,30,30,Weinstein Company,2011,Foreign,12.671,-47.329,22/07/2011,-17.329,21.118,13.425
Regression,Weinstein Co,0.033915,-80.9,0.055,40,20,Weinstein / Dimension,2016,Thriller,11.486,-48.514,05/02/2016,-28.514,17.671,17.616
Hoodwinked Too! Hood vs. Evil,Weinstein Co,4.10863,-83,10.144,30,30,Weinstein Company,2011,Animation,10.177,-49.823,29/04/2011,-19.823,16.961,6.817
Piranha 3DD,Weinstein Co,0.182237,-83,0.377,15,15,Weinstein / Dimension,2012,Horror,5.096,-24.904,01/06/2012,-9.904,8.494,8.117
Easy Money (2012),Weinstein Co,0.024684,-83.3,0.206,15,15,Weinstein Company,2012,Foreign,5.022,-24.978,11/07/2012,-9.978,8.37,8.164
Macbeth (2015),Weinstein Co,0.069833,-83.9,1.111,44,22,Weinstein Company,2015,Drama,10.609,-55.391,04/12/2015,-33.391,16.322,15.211
Sing Street,Weinstein Co,0.063573,-85.2,3.237,40,20,Weinstein Company,2016,Musical,8.856,-51.144,15/04/2016,-31.144,13.625,10.387
The Immigrant,Weinstein Co,0.044064,-85.3,2.025,12,12,Weinstein Company,2014,Drama,3.521,-20.479,16/05/2014,-8.479,5.868,3.842
One Chance,Weinstein Co,0.033405,-86.9,0.101,25,25,Weinstein Company,2014,Musical,6.54,-43.46,10/10/2014,-18.46,10.9,10.799
Vampire Academy,Weinstein Co,3.921742,-87.9,7.792,55,27.5,Weinstein Company,2014,Fantasy,10.005,-72.495,07/02/2014,-44.995,15.392,7.6
Unfinished Song,Weinstein Co,0.025728,-89.4,1.703,20,20,Weinstein Company,2013,Comedy / Drama,4.225,-35.775,21/06/2013,-15.775,7.041,5.339
The Company Men,Weinstein Co,0.647797,-90.2,4.441,15,15,Weinstein Company,2011,Drama,2.93,-27.07,21/01/2011,-12.07,4.883,0.441
The Young & Prodigious T.S. Spivet,Weinstein Co,0.033658,-90.5,0.174,30,30,Weinstein Company,2015,Adventure,5.697,-54.303,31/07/2015,-24.303,9.495,9.321
Shanghai,Weinstein Co,0.026604,-90.8,0.046,30,30,Weinstein Company,2015,Period Drama,5.548,-54.452,02/10/2015,-24.452,9.246,9.199
The Tillman Story,Weinstein Co,0.052185,-91.167,0.803,5,5,Weinstein Company,2010,Documentary,0.8833,-9.1167,20/08/2010,-4.1167,1.606,0.803
Nowhere Boy,Weinstein Co,0.052749,-91.8,1.457,24,24,Weinstein Company,2010,Drama,3.947,-44.053,08/10/2010,-20.053,6.578,5.121
Tracks (2014),Weinstein Co,0.021544,-94.1,0.51,25,25,Weinstein Company,2014,Drama,2.927,-47.073,19/09/2014,-22.073,4.878,4.368
Populaire,Weinstein Co,0.01569,-94.5,0.179,30,30,Weinstein Company,2013,Foreign,3.297,-56.703,06/09/2013,-26.703,5.495,5.316
W.E.,Weinstein Co,0.047074,-94.8,0.583,5,5,Weinstein Company,2012,Historical Drama,0.521,-9.479,03/02/2012,-4.479,0.868,0.285
Submarine,Weinstein Co,0.041832,-94.8,0.468,5,5,Weinstein Company,2011,Comedy / Drama,0.519,-9.481,03/06/2011,-4.481,0.865,0.397
Hands of Stone,Weinstein Co,1.751388,-94.9,4.713,40,20,Weinstein Company,2016,Drama,3.063,-56.937,26/08/2016,-36.937,4.713,4.713
Salinger,Weinstein Co,0.086956,-96.1,0.584,5,5,Weinstein Company,2013,Documentary,0.391,-9.609,06/09/2013,-4.609,0.651,0.067
Undefeated (2012),Weinstein Co,0.033165,-96.6,0.562,5,5,Weinstein Company,2012,Documentary,0.337,-9.663,17/02/2012,-4.663,0.562,0.562
Miral,Weinstein Co,0.066244,-98.2,0.373,15,15,Weinstein Company,2011,Drama,0.541,-29.459,25/03/2011,-14.459,0.901,0.527
Jane Got a Gun,Weinstein Co,0.835572,-98.4,1.514,40,20,Weinstein Company,2016,Western,0.984,-59.016,29/01/2016,-39.016,1.514,1.514
Coriolanus,Weinstein Co,0.061136,-98.8,0.757,40,20,Weinstein Company,2012,Period Drama,0.697,-59.303,20/01/2012,-39.303,1.073,0.315
The Disappearance of Eleanor Rigby,Weinstein Co,0.066941,-98.8,0.588,25,25,Weinstein Company,2014,Drama,0.591,-49.409,12/09/2014,-24.409,0.985,0.397
Clown,Weinstein Co,0.02692,-99.9,0.055,40,20,Weinstein / Dimension,2016,Horror Thriller,0.036,-59.964,17/06/2016,-39.964,0.055,0.055
Dirty Girl,Weinstein Co,0.017859,-99.9,0.055,24,24,Weinstein Company,2011,Drama,0.033,-47.967,07/10/2011,-23.967,0.055,0.055
Wild Oats,Weinstein Co,0.021554,-99.92483333,0.041,40,20,Weinstein / Dimension,2016,Adventure Comedy,0.0451,-59.9549,16/09/2016,-39.9549,0.082,0.041
Eva,Weinstein Co,0.010395,-100,0.017,40,20,Weinstein Company,2015,Foreign,0.011,-59.989,13/03/2015,-39.989,0.017,0.017
